subj	date	Experiment	SessionTime	level	Procedure	Grid1.OnsetTime	Delay.OnsetTime	Target.OnsetTime	Delay_time	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC	Match
10638	20130514	1_A	09:08:03	2	 cue	 646322			 NA	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 648822	 650322		 1500	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 652821	 654321		 1500	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 656821	 658321	 659838	 1500	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 933	 660771	 0	 yes
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 663354	 664854	 669371	 4500	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 918	 670289	 1	 no
10638	20130514	1_A	09:08:03	2	 cue	 673887			 NA	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 676387	 677887		 3000	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cue	 682887			 NA	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelay	 688386	 689886		 1500	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA				 NA
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 692386	 693886	 696903	 3000	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 776	 697679	 1	 no
10638	20130514	1_A	09:08:03	2	 cueDelayProbe	 700419	 701919	 703436	 1500	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1256	 704692	 1	 yes
10638	20130514	1_A	09:08:03	2	 cueDelay	 709952	 711452		 3000	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA				 NA
