subj	date	SessionTime	level	Procedure	Grid1.OnsetTime	ITI	Load	Block	Cue1_img	Cue2_img	Cue3_img	Target_img	Target.RT	Target.RTTime	Target.ACC
10638	20130514	09:08:03	2	 cueDelayProbe	 598291	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 907	 603714	 1
10638	20130514	09:08:03	2	 cue	 609324	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA			
10638	20130514	09:08:03	2	 cue	 626823	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 630323	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA			
10638	20130514	09:08:03	2	 cue	 642822	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA			
10638	20130514	09:08:03	2	 cue	 646322	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 648822	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 652821	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 656821	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 933	 660771	 0
10638	20130514	09:08:03	2	 cueDelayProbe	 663354	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 918	 670289	 1
10638	20130514	09:08:03	2	 cue	 673887	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 676387	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10638	20130514	09:08:03	2	 cue	 682887	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 688386	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 692386	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 776	 697679	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 700419	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1256	 704692	 1
10638	20130514	09:08:03	2	 cueDelay	 709952	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 715452	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 723451	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1039	 730507	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 732984	 1000	 high		 Cue8.JPG	 Cue6.JPG	 Cue2.JPG	 Target1358.JPG	 1121	 738622	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 741017	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue7.JPG	 Target2368.JPG	 1127	 748161	 1
10638	20130514	09:08:03	2	 cue	 751550	 4000	 high		 Cue3.JPG	 Cue7.JPG	 Cue6.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 757050	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelay	 765049	 4000	 high		 Cue5.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10638	20130514	09:08:03	2	 cue	 772049	 16000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 789548	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 Target2368.JPG	 882	 794947	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 797581	 4000	 high		 Cue2.JPG	 Cue8.JPG	 Cue6.JPG	 Target1467.JPG	 1377	 804959	 0
10638	20130514	09:08:03	2	 cue	 810097	 1000	 high		 Cue8.JPG	 Cue4.JPG	 Cue1.JPG	 NA			
10638	20130514	09:08:03	2	 cue	 812597	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10638	20130514	09:08:03	2	 cueDelayProbe	 816097	 1000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target1467.JPG	 725	 819839	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 822630	 2000	 high		 Cue6.JPG	 Cue1.JPG	 Cue4.JPG	 Target2357.JPG	 845	 826492	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 830163	 8000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1468.JPG	 962	 834142	 1
10638	20130514	09:08:03	2	 cueDelayProbe	 843696	 4000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1367.JPG	 1018	 849230	 1
			1												
10644	20130327	09:19:05	2	 cueDelay	 478352	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 482352	 1000	 high		 Cue3.JPG	 Cue6.JPG	 Cue2.JPG	 Target1468.JPG	 1163	 486532	 0
10644	20130327	09:19:05	2	 cueDelayProbe	 488885	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 Target2358.JPG	 1132	 494551	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 496935	 8000	 high		 Cue3.JPG	 Cue6.JPG	 Cue7.JPG	 Target1457.JPG	 1237	 502689	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 511968	 1000	 high		 Cue6.JPG	 Cue2.JPG	 Cue4.JPG	 Target1357.JPG	 1293	 516278	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 518502	 4000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 Target2368.JPG	 935	 523953	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 529535	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 Target1457.JPG	 1278	 533829	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 537068	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target2367.JPG	 1101	 541202	 1
10644	20130327	09:19:05	2	 cue	 543618	 1000	 high		 Cue5.JPG	 Cue2.JPG	 Cue3.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 546118	 1000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2357.JPG	 1031	 550182	 1
10644	20130327	09:19:05	2	 cue	 552668	 1000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 555168	 1000	 high		 Cue6.JPG	 Cue7.JPG	 Cue4.JPG	 Target1368.JPG	 1002	 559203	 1
10644	20130327	09:19:05	2	 cueDelay	 561718	 2000	 low		 Cue1.JPG	 Cue1.JPG	 Cue1.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 568217	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue6.JPG	 Target1357.JPG	 972	 572189	 1
10644	20130327	09:19:05	2	 cueDelay	 581734	 2000	 high		 Cue1.JPG	 Cue3.JPG	 Cue6.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 586734	 4000	 high		 Cue3.JPG	 Cue5.JPG	 Cue8.JPG	 Target1467.JPG	 1080	 592330	 1
10644	20130327	09:19:05	2	 cue	 597767	 16000	 low		 Cue2.JPG	 Cue2.JPG	 Cue2.JPG	 NA			
10644	20130327	09:19:05	2	 cue	 615267	 2000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelay	 618767	 8000	 high		 Cue4.JPG	 Cue2.JPG	 Cue5.JPG	 NA			
10644	20130327	09:19:05	2	 cue	 631266	 2000	 high		 Cue1.JPG	 Cue4.JPG	 Cue5.JPG	 NA			
10644	20130327	09:19:05	2	 cue	 634766	 1000	 high		 Cue6.JPG	 Cue1.JPG	 Cue8.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelay	 637266	 1000	 high		 Cue5.JPG	 Cue8.JPG	 Cue3.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelay	 641266	 1000	 low		 Cue7.JPG	 Cue7.JPG	 Cue7.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 645266	 1000	 high		 Cue4.JPG	 Cue8.JPG	 Cue6.JPG	 Target1358.JPG	 1541	 649840	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 651816	 2000	 low		 Cue6.JPG	 Cue6.JPG	 Cue6.JPG	 Target1357.JPG	 899	 658715	 1
10644	20130327	09:19:05	2	 cue	 662333	 1000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelay	 664832	 2000	 low		 Cue3.JPG	 Cue3.JPG	 Cue3.JPG	 NA			
10644	20130327	09:19:05	2	 cue	 671332	 4000	 high		 Cue4.JPG	 Cue6.JPG	 Cue7.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelay	 676832	 1000	 low		 Cue4.JPG	 Cue4.JPG	 Cue4.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 680832	 1000	 high		 Cue5.JPG	 Cue3.JPG	 Cue7.JPG	 Target2468.JPG	 1233	 686598	 1
10644	20130327	09:19:05	2	 cueDelayProbe	 688882	 4000	 low		 Cue8.JPG	 Cue8.JPG	 Cue8.JPG	 Target2468.JPG	 1162	 693061	 1
10644	20130327	09:19:05	2	 cueDelay	 698415	 1000	 high		 Cue6.JPG	 Cue8.JPG	 Cue1.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelay	 703915	 2000	 high		 Cue2.JPG	 Cue7.JPG	 Cue5.JPG	 NA			
10644	20130327	09:19:05	2	 cueDelayProbe	 711915	 1000	 low		 Cue5.JPG	 Cue5.JPG	 Cue5.JPG	 Target1357.JPG	 1351	 719283	 1
